EdgeStatsReport
SVGenTotalHours	0.0019h wall, 0.0009h user + 0.0000h system = 0.0009h CPU (46.54%)
NonEdgeHours	0.0018h wall, 0.0008h user + 0.0000h system = 0.0008h CPU (43.51%)

[AllEdges]
InputEdgeCount	8
InputEdgeCandidatesPerEdge:
0	3
1	4
2	1
3	0
4	0
5+	0
CandidateCount	6
ComplexCandidateCount	4
EdgeFilter	3
SemiMappedFilter	0
ComplexLowCountFilter	0
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	6
ComplexJunctionCount	4
BreaksPerJunction:
0	0
1	4
2	1
3+	0
TotalAssemblyCandidates	5
TotalSpanningAssemblyCandidates	2
AssemblyCandidatesPerJunction:
0	1
1	5
2	0
3	0
4	0
5+	0
totalHours	0.0001h wall, 0.0001h user + 0.0000h system = 0.0001h CPU (93.45%)
totalSecsPerEdge	0.0522s wall, 0.0475s user + 0.0013s system = 0.0488s CPU (93.45%)
totalSecsPerCand	0.0696s wall, 0.0633s user + 0.0017s system = 0.0650s CPU (93.45%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (114.66%)
candiSecsPerEdge	0.0065s wall, 0.0075s user + 0.0000s system = 0.0075s CPU (114.66%)
candiSecsPerCand	0.0087s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (114.66%)
assemHours	0.0001h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (91.17%)
assemSecsPerEdge	0.0233s wall, 0.0200s user + 0.0013s system = 0.0213s CPU (91.17%)
assemSecsPerCand	0.0311s wall, 0.0267s user + 0.0017s system = 0.0283s CPU (91.17%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (89.73%)
scoreSecsPerEdge	0.0223s wall, 0.0200s user + 0.0000s system = 0.0200s CPU (89.73%)
scoreSecsPerCand	0.0297s wall, 0.0267s user + 0.0000s system = 0.0267s CPU (89.73%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)

[RemoteEdges]
InputEdgeCount	4
InputEdgeCandidatesPerEdge:
0	3
1	0
2	1
3	0
4	0
5+	0
CandidateCount	2
ComplexCandidateCount	0
EdgeFilter	3
SemiMappedFilter	0
ComplexLowCountFilter	0
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	2
ComplexJunctionCount	0
BreaksPerJunction:
0	0
